R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
171  2,Kentavious Caldwell-Pope,"SG,SF",ORL,49,30.5,9,2,1.8,1.5,0.5,0.9,-0.66
172  28,Guerschon Yabusele,"PF,C",PHI,48,26.8,11.1,5.7,2,0.8,0.4,1.3,-0.69
173  35,Bennedict Mathurin,"SG,SF",IND,47,31.7,16.2,5.7,1.8,0.6,0.4,2,-0.69
174  6,Brandin Podziemski,SG,GS,37,24.4,9.4,4.5,3.3,1,0.2,1.1,-0.7
175  53,Trayce Jackson-Davis,"PF,C",GS,46,19.5,8,6.2,2.1,0.5,0.7,0.8,-0.7
176  105,Andre Drummond,C,PHI,28,19.2,7.1,7.6,0.6,1.1,0.4,1.7,-0.71
177  19,Kel'el Ware,"PF,C",MIA,34,18.1,8.4,5.5,0.6,0.6,1,0.7,-0.75
178  62,Khris Middleton,SF,WAS,23,23.2,12.6,3.7,4.4,0.7,0.2,1.6,-0.77
179  19,Day'Ron Sharpe,C,BKN,29,17.4,8,6,1.5,0.8,0.6,1.2,-0.78
180  39,Jaime Jaquez Jr.,"SG,SF",MIA,44,23.2,9.4,4.8,2.7,1.1,0.2,1.5,-0.79
181  27,De'Anthony Melton,"PG,SG",BKN,6,20.2,10.3,3.3,2.8,1.2,0.3,1.7,-0.79
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
182  92,Kevon Looney,"PF,C",GS,44,16.5,5.2,7,1.9,0.8,0.4,0.6,-0.89
183  42,Nikola Jovic,"PF,C",MIA,40,24.8,11.1,4,2.9,0.9,0.3,1.3,-0.9
184  88,Collin Sexton,"PG,SG",UTA,46,28.5,18.3,2.9,4.1,0.7,0.1,2.5,-0.91
185  41,Patrick Williams,PF,CHI,42,26.7,9.4,4.2,2.2,0.8,0.6,1.4,-0.98
186  28,Marcus Smart,"PG,SG",MEM,19,21.1,8.7,2.3,3.7,1.2,0.3,1.8,-0.98
187  23,Shaedon Sharpe,"SG,SF",POR,43,30.4,17.2,3.8,2.4,0.8,0.2,1.9,-0.98
188  71,Anthony Black,"PG,SG",ORL,48,24.7,8.9,2.6,3.4,1,0.5,1.9,-0.99
189  36,Ochai Agbaji,"SG,SF",TOR,45,27.8,10.4,3.6,1.6,0.9,0.6,0.8,-0.99
190  31,Larry Nance Jr.,"PF,C",ATL,21,19.1,8.1,4.4,1.5,0.9,0.6,0.6,-1
191  6,Jaylin Williams,"PF,C",OKC,22,17.1,6,5.6,2.4,0.5,0.7,0.7,-1.04
192  135,Kyle Kuzma,PF,MIL,32,27.7,15.2,5.8,2.4,0.6,0.2,2.3,-1.04
193  10,Brandon Clarke,"PF,C",MEM,47,18.8,7.9,5,1,0.9,0.6,0.6,-1.06
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
194  16,Ziaire Williams,"SG,SF",BKN,37,23.4,9.4,4.7,1.4,1,0.4,1,-1.12
195  34,Dean Wade,"SF,PF",CLE,35,22.8,6,5.1,1.6,0.9,0.5,0.3,-1.13
196  19,Moritz Wagner,C,ORL,30,18.8,12.9,4.9,1.4,0.8,0.4,1.6,-1.14
197  31,Derrick Jones Jr.,"SF,PF",LAC,48,25.1,10.4,3.7,0.9,1.2,0.4,0.9,-1.16
198  6,Justin Champagnie,"SG,SF",WAS,32,18.8,7.8,4.5,0.9,1,0.6,0.8,-1.16
199  19,Jake LaRavia,"SF,PF",MEM,47,20.9,7.3,4.4,2.8,0.9,0.4,1.5,-1.17
200  7,Brandon Boston Jr.,"SG,SF,PF",NO,41,23.8,10.7,3.2,2.2,1.2,0.2,1.2,-1.19
201  91,Stephon Castle,"PG,SG",SA,47,25.5,12.2,2.8,3.7,0.8,0.3,2,-1.21
202  24,Malcolm Brogdon,"PG,SG",WAS,21,24.1,13.1,4,4,0.5,0.2,1.6,-1.24
203  57,Moussa Diabate,C,CHA,41,18.7,4.6,6.9,0.7,0.7,0.7,0.9,-1.24
204  23,Dru Smith,"PG,SG",MIA,14,19.2,6.3,2.6,1.6,1.5,0.4,1.2,-1.24
205  75,Ty Jerome,"PG,SG",CLE,48,18.9,11.3,2.4,3.4,1.2,0,1.2,-1.26
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
206  52,Klay Thompson,"SG,SF",DAL,44,27.2,13.4,3.5,2,0.8,0.4,1.5,-1.28
207  23,Max Strus,"SG,SF",CLE,23,24.5,8.1,4.3,3,0.7,0.4,1,-1.28
208  106,De'Andre Hunter,"SF,PF",ATL,37,28.7,19,3.9,1.5,0.8,0.1,1.6,-1.3
209  54,Mason Plumlee,C,PHO,49,17.5,4,6.4,1.9,0.4,0.8,0.9,-1.32
210  4,Terry Rozier,PG,MIA,45,28.5,12.3,4.2,2.9,0.6,0.3,1.4,-1.34
211  91,Kevin Porter Jr.,PG,LAC,45,19.6,9.3,3.6,3.2,1,0.2,1.9,-1.35
212  36,Kyshawn George,"SG,SF",WAS,45,25.5,7.7,3.8,2.2,0.8,0.6,1.3,-1.35
213  9,Luke Kornet,C,BOS,45,16.8,5.1,4.9,1.5,0.5,0.9,0.4,-1.36
214  15,Spencer Dinwiddie,"PG,SG",DAL,49,25,10.1,2.4,3.8,0.9,0.2,1.1,-1.38
215  45,Julian Champagnie,"SF,PF",SA,48,25.3,10.4,4.2,1.2,0.8,0.5,1,-1.48
216  14,Bub Carrington,"PG,SG",WAS,50,28.9,8.5,3.9,3.9,0.7,0.2,1.4,-1.5
217  14,Josh Okogie,"SG,SF",CHA,32,15.6,6.9,3,0.8,1.3,0.5,0.8,-1.51
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
218  14,Javonte Green,,NO,46,22.1,5.9,3.6,0.9,1.1,0.6,0.6,-1.51
219  48,Aaron Gordon,"PF,C",DEN,29,26.8,12.4,4.8,2.9,0.5,0.2,1.3,-1.52
220  45,Naji Marshall,"SG,SF",DAL,38,24.3,10.9,3.6,2.6,1,0.1,1.4,-1.52
221  61,Gradey Dick,"SG,SF",TOR,44,29.9,15.6,3.3,2,0.8,0.2,1.6,-1.54
222  72,Grayson Allen,"PG,SG,SF",PHO,41,24.8,10.8,3.4,2,0.9,0.3,1,-1.57
223  88,Isaiah Collier,PG,UTA,41,22.7,6.2,2.9,5.3,0.8,0.2,2.7,-1.64
224  53,Zaccharie Risacher,SF,ATL,44,23.9,11.2,3.5,1.2,0.8,0.5,1.1,-1.67
225  34,Dorian Finney-Smith,"SF,PF,C",LAL,34,26.9,8.9,3.9,1.3,0.9,0.4,0.8,-1.72
226  33,Dillon Brooks,"SG,SF,PF",HOU,47,32.3,13.6,3.8,1.5,0.8,0.2,1.1,-1.75
227  37,Buddy Hield,"SG,SF",GS,50,23.2,11.7,3.2,1.6,0.9,0.3,1.2,-1.78
228  38,Keon Johnson,"PG,SG",BKN,49,23.1,10,3.4,1.9,0.9,0.3,1.2,-1.79
230  56,Malik Beasley,"SG,SF",DET,51,27.7,16,2.9,1.8,0.9,0,1.1,-1.85
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
231  31,Jalen Smith,"PF,C",CHI,47,15.3,8.4,5.6,0.9,0.3,0.7,0.6,-1.89
232  43,Tre Mann,"PG,SG",CHA,13,24.5,14.1,2.9,3,0.5,0.3,1.9,-1.9
